رقم الطالب,اسم الطالب,الجنسية,الرقم الوطني/الجواز,الجنس,آخر معدل تراكمي,التخصص,الدرجة,سنة التخرج,فصل التخرج,رقم الهاتف,مكان العمل الحالي,تاريخ بدء العمل,عنوان المنشأة,قطاع المنشأة,رقم هاتف المنشأة
12345,أيمن عماد محمد ابراهيم,الاردنية,12345,ذكر,2.27,علم الحاسوب,ماجستير (مسار الشامل),2020/2019,2,00962799331234,"شركة الكرامة ",2023-01-16,عمان شارع الملكة رانيا مقابل جريدة الدستور,الخاص,00962799331234
9876,فيصل حسام سليمان أحمد,الاردنية,9876,ذكر,2.89,هندسة البرمجيات,بكالوريوس,2021/2020,3,00962799331234,شركة الكهرباء,2023-01-16,الشميساني شارع الملكه نور بجانب الاهليه ابيلا,العام,00962799331234
6789,خليل أسامة يونس حسن,الاردنية,6789,ذكر,3.14,الأمن السيبراني,ماجستير (مسار الرسالة),2022/2021,1,00962799331234,Estarta,2023-01-16,الصويفية، شارع الوكالات، بناية 27,الخاص,00962799331234
54321,عمر علي صالح عبدالله,الاردنية,54321,ذكر,3.26,نظم المعلومات الحاسوبية,بكالوريوس,2023/2022,2,00962799331234,Pwc,2023-01-16,عمان الشميساني/خلف  غرفة تجارة عمان,الخاص,00962799331234
56789,سارة زيد صالح محمد,الاردنية,56789,انثى,3.85,الرسم الحاسوبي والرسوم المتحركة,بكالوريوس,2024/2023,1,00962799331234,العاب بابل للبرمجيات,2024-01-16,صوليح، شارع الملك عبدالله الثاني، 22,الخاص,00962799331234
123123,محمد زبد سليمان حمزة,الاردنية,123123,ذكر,3.99,علم الحاسوب,بكالوريوس,2024/2023,3,,,,,,
380812094,فراس سراج الدين دريد السقا,الاردنية,380812094,ذكر,2.49,علم الحاسوب,بكالوريوس,2023/2022,3,,Tagopia,2022-12-11,2 Bunting Parkway,الخاص,8743913587
99964206,راجي زيد أسماعيل الصفار,الاردنية,99964206,انثى,2.1,الأمن السيبراني,بكالوريوس,2020/2019,3,1576434527,Topicstorm,,1 Center Road,الخاص,
285744819,ديلار أيوب شادي سعيد,الاردنية,285744819,انثى,3.2,نظم المعلومات الحاسوبية,بكالوريوس,2024/2023,2,3016818519,Quire,,,,7242720565
146777198,أميمة عبد الرؤوف شيار الحجيج,الاردنية,146777198,انثى,3.83,الأمن السيبراني,بكالوريوس,2022/2021,3,9609301668,,,89174 Packers Road,,6561026587
217069284,مودة مهند خلدون السقا,الاردنية,217069284,ذكر,1.9,الأمن السيبراني,بكالوريوس,2022/2021,1,,Rhynoodle,2022-07-26,0476 Dorton Crossing,الخاص,9893695603
606445688,رودي بلال حيدر جابالله,الاردنية,606445688,ذكر,2.14,الأمن السيبراني,بكالوريوس,2022/2021,2,6166018803,Shuffletag,2021-07-08,04 Mayer Junction,العام,6281265823
265176763,شجن فادي أوس العواني,الاردنية,265176763,ذكر,3.69,هندسة البرمجيات,ماجستير (مسار الرسالة),2024/2023,2,9125883696,Skyndu,2023-05-08,489 Surrey Circle,,8703968162
539030012,عوض عادل سيف يافع,الاردنية,539030012,ذكر,1.85,الأمن السيبراني,ماجستير (مسار الشامل),2021/2020,1,8357471095,Mydo,2022-01-12,72 Kropf Park,الخاص,8603880508
297264901,مصبح يامن أوس يافع,الاردنية,297264901,انثى,2.37,الأمن السيبراني,بكالوريوس,2022/2021,2,9373419878,Yabox,2022-11-01,,الخاص,8875213531
487297083,فادي وسيم مصلح بن عمر,الاردنية,487297083,ذكر,1.74,الرسم الحاسوبي والرسوم المتحركة,ماجستير (مسار الرسالة),2024/2023,3,4683081971,Trupe,2023-09-01,59 Blue Bill Park Street,,
290674466,ديم رامي ساري الطويل,الاردنية,290674466,انثى,2.16,علم الحاسوب,بكالوريوس,2023/2022,3,8018137809,,2022-05-12,5 Maywood Pass,,4051473553
549103006,أمنية سليم بسّام الشريف,الاردنية,549103006,ذكر,3.05,الأمن السيبراني,بكالوريوس,2024/2023,3,2889164599,Eayo,2023-02-11,868 Surrey Alley,الخاص,
282129653,ياسر مالك فادي الزوابي,الاردنية,282129653,ذكر,2.47,الرسم الحاسوبي والرسوم المتحركة,ماجستير (مسار الرسالة),2024/2023,2,4975751051,Kwimbee,2024-01-04,38 La Follette Plaza,العام,5704018264
333185716,أحلام أمير هادي الكراي,الاردنية,333185716,ذكر,3.36,هندسة البرمجيات,ماجستير (مسار الرسالة),2020/2019,1,8696450760,Wordify,2022-02-19,16350 Tennyson Drive,الخاص,1738293843
670836503,ضي نيروز تميم العلاني,الاردنية,670836503,ذكر,2.83,الرسم الحاسوبي والرسوم المتحركة,ماجستير (مسار الرسالة),2022/2021,3,6361783980,Thoughtbridge,,81 Vernon Point,الخاص,
392204302,أيهم إحسان اياد الحجيج,الاردنية,392204302,ذكر,3.33,الرسم الحاسوبي والرسوم المتحركة,ماجستير (مسار الشامل),2021/2020,1,4945972325,Skipstorm,2022-01-10,19884 Milwaukee Parkway,العام,
139778362,ريلام معاذ عبدالرحمن الخليفي,الاردنية,139778362,ذكر,2.62,الرسم الحاسوبي والرسوم المتحركة,ماجستير (مسار الشامل),2024/2023,2,,Pixope,2021-08-11,916 Novick Circle,العام,5306427121
919975621,إبراهيم معاذ راشد الأشراف,الاردنية,919975621,ذكر,2.36,هندسة البرمجيات,بكالوريوس,2021/2020,2,5112822535,Jabbersphere,2023-06-14,25672 Farwell Park,العام,7808292932
