رقم الطالب,اسم الطالب,الجنسية,الرقم الوطني/الجواز,الجنس,آخر معدل تراكمي,التخصص,الدرجة,سنة التخرج,فصل التخرج,رقم الهاتف,مكان العمل الحالي,تاريخ بدء العمل,عنوان المنشأة,قطاع المنشأة,رقم هاتف المنشأة
12345,أيمن عماد محمد ابراهيم,الاردنية,scrypt:32768:8:1$tkbKcLHzB4xX4s9v$bf8f550ea7a0cad64b9d3028d02a68d422f8bffce515ca8e436ed10404fe999a9ed1b33e93d9406181d582b2527476220e483aa0552974b029c3290c0722eaf4,ذكر,2.27,علم الحاسوب,ماجستير (مسار الشامل),2020/2019,2,00962799331234,شركة الكرامة ,2023-01-16,عمان شارع الملكة رانيا مقابل جريدة الدستور,الخاص,00962799331234
9876,فيصل حسام سليمان أحمد,الاردنية,scrypt:32768:8:1$m8MAABus6kFNOVp3$6ba4a56e48f7fd577c3691481f0cf077ab8167d50b90c07b07aa932911296b3b6c00a61629c98219081b542b7411db98682feb85f1d9c5fb684546795b8f4f6c,ذكر,2.89,هندسة البرمجيات,بكالوريوس,2021/2020,3,00962799331234,شركة الكهرباء,2023-01-16,الشميساني شارع الملكه نور بجانب الاهليه ابيلا,العام,00962799331234
6789,خليل أسامة يونس حسن,الاردنية,scrypt:32768:8:1$wTaL1Ijjj7NTKFKB$87646ab5bfaaa0d57601cd44b008dae96d3755d82e4ef6ce9b5d9c822077ec0eae3c6a6462cbf769a37ae7698ea7ddd93cf2e1d7e86b5b7c84a594acd3908e9f,ذكر,3.14,الأمن السيبراني,ماجستير (مسار الرسالة),2022/2021,1,00962799331234,Estarta,2023-01-16,الصويفية، شارع الوكالات، بناية 27,الخاص,00962799331234
54321,عمر علي صالح عبدالله,الاردنية,scrypt:32768:8:1$E2OA9HqWIiIkp47R$3bd6667f941684c2874f88b3460d5a4e4f22cd99e05b15523ecac0be529d96cbf347ec8ea06247520adee86ecc4815daa7c6a0bf371534b739017e2c32fad0cc,ذكر,3.26,نظم المعلومات الحاسوبية,بكالوريوس,2023/2022,2,00962799331234,Pwc,2023-01-16,عمان الشميساني/خلف  غرفة تجارة عمان,الخاص,00962799331234
56789,سارة زيد صالح محمد,الاردنية,scrypt:32768:8:1$Rea0OlIBFuxW93lU$1b12250799078a15fbc56421d226e98ce43a0d9c1d1154b969ace657d3a55c0398c14904e617492e5eba72cd3d78a65cf81401cd7956cdaeb62e7275d921d5f3,انثى,3.85,الرسم الحاسوبي والرسوم المتحركة,بكالوريوس,2024/2023,1,00962799331234,العاب بابل للبرمجيات,2024-01-16,صوليح، شارع الملك عبدالله الثاني، 22,الخاص,00962799331234
123123,محمد زبد سليمان حمزة,الاردنية,scrypt:32768:8:1$oSd0wH0k77TLtLlr$bd65076b8319959833b7d4ef3310543a085c5b138cea6a9293e2eb6cfbea36a5d08a692edf78b3b87e0d7f9428550e94baf3a693c480d97a1a789ae590d89e86,ذكر,3.99,علم الحاسوب,بكالوريوس,2024/2023,3,,,,,,
380812094,فراس سراج الدين دريد السقا,الاردنية,scrypt:32768:8:1$L3x5AtJO4VihKvfL$d9208f217e238f3a4f388b79bdec1b6d0872f6da152f2cd60702eb0c640a9177ee903606a85097dd4496e91291f47ba4a11d9968f0c69a24a219f7b6e47bd123,ذكر,2.49,علم الحاسوب,بكالوريوس,2023/2022,3,,Tagopia,2022-12-11,2 Bunting Parkway,الخاص,8743913587
99964206,راجي زيد أسماعيل الصفار,الاردنية,scrypt:32768:8:1$AVLK3V3kH9D4bOQa$39a5b86e51efac79c8080f4995aa058a508375e36a9b7eed14569fb45bec0007f8788262b0a62560a27f906d49f92988e400eea8438f4990a28c4f0f2d3a104b,انثى,2.1,الأمن السيبراني,بكالوريوس,2020/2019,3,1576434527,Topicstorm,,1 Center Road,الخاص,
285744819,ديلار أيوب شادي سعيد,الاردنية,scrypt:32768:8:1$On3znqeOWT6vZ6J4$46cb0f1adddb187ae54e1512a86218dc9d2b61565c37b530af26b5c4bfd7daea57df9a8f6bb6bb711c3166985f181a35afacbfc8cdf60de17b36b051db5a13f5,انثى,3.2,نظم المعلومات الحاسوبية,بكالوريوس,2024/2023,2,3016818519,Quire,,,,7242720565
146777198,أميمة عبد الرؤوف شيار الحجيج,الاردنية,scrypt:32768:8:1$2C5lYBYpQcFa6y7W$300cf1c30b9b2d7e7347ad0ea15a76730e03089691b8ee97053eb9cfd7ff53f8c5014064bc6d1d17849c2849831fa829e7b23208099f38ca0e7efb2774314f37,انثى,3.83,الأمن السيبراني,بكالوريوس,2022/2021,3,9609301668,,,89174 Packers Road,,6561026587
